T,V,
-0.0697,0,-0.2
-0.0696,-0.024,0
-0.0695,0.02,0
-0.0694,-0.004,0
-0.0693,0.012,0
-0.0692,0.012,0
-0.0691,-0.008,0
-0.069,-0.004,0
-0.0689,0.004,0
-0.0688,-0.016,0
-0.0687,-0.004,0
-0.0686,0.004,0
-0.0685,0.008,0
-0.0684,0,0
-0.0683,-0.016,0.2
-0.0682,0.016,0
-0.0681,0.012,0
-0.068,0.02,0
-0.0679,-0.024,0
-0.0678,-0.016,0
-0.0677,0,0
-0.0676,0.02,0
-0.0675,-0.008,0
-0.0674,-0.02,0
-0.0673,0.012,0
-0.0672,-0.024,0
-0.0671,-0.012,0
-0.067,-0.016,0.2
-0.0669,-0.016,0
-0.0668,0,0
-0.0667,-0.004,0
-0.0666,-0.024,0
-0.0665,0.008,0
-0.0664,0.012,0
-0.0663,0.012,0
-0.0662,-0.032,0
-0.0661,-0.016,0
-0.066,0,0
-0.0659,0.036,0
-0.0658,0.012,0
-0.0657,-0.012,0
-0.0656,-0.024,0
-0.0655,-0.012,0
-0.0654,-0.004,0
-0.0653,-0.012,0
-0.0652,-0.004,0
-0.0651,-0.016,0.2
-0.065,0,0
-0.0649,-0.008,0
-0.0648,0.008,0
-0.0647,0.028,0
-0.0646,0,0
-0.0645,0.012,0
-0.0644,-0.012,0
-0.0643,-0.004,0
-0.0642,-0.008,0.2
-0.0641,0.012,0
-0.064,-0.016,0
-0.0639,-0.016,0
-0.0638,-0.004,0
-0.0637,0.008,0
-0.0636,0,-0.2
-0.0635,0,0
-0.0634,-0.016,0
-0.0633,0.008,0
-0.0632,-0.012,0
-0.0631,-0.008,0
-0.063,0.016,0
-0.0629,-0.012,0
-0.0628,0.008,0
-0.0627,-0.004,0
-0.0626,-0.008,0
-0.0625,0.008,0
-0.0624,0.012,0
-0.0623,0,0
-0.0622,-0.004,0
-0.0621,0.012,0
-0.062,-0.004,0
-0.0619,0.008,0
-0.0618,-0.012,-0.2
-0.0617,-0.02,0
-0.0616,-0.02,0
-0.0615,-0.012,0
-0.0614,0.004,0.2
-0.0613,0,0
-0.0612,-0.008,0
-0.0611,0.008,0
-0.061,-0.008,0.2
-0.0609,0.02,0
-0.0608,0.036,0
-0.0607,0.012,0
-0.0606,-0.008,0
-0.0605,0,0
-0.0604,0.008,0
-0.0603,-0.016,0
-0.0602,-0.008,0
-0.0601,0.004,0
-0.06,-0.028,0
-0.0599,0.012,0
-0.0598,-0.004,0
-0.0597,0.024,0
-0.0596,-0.004,0
-0.0595,-0.004,0.2
-0.0594,-0.004,0
-0.0593,0.004,0
-0.0592,-0.008,0
-0.0591,0.012,-0.2
-0.059,-0.016,0
-0.0589,-0.012,0
-0.0588,-0.02,0
-0.0587,0.016,0
-0.0586,0.008,0
-0.0585,-0.016,0
-0.0584,-0.024,0
-0.0583,0.008,0
-0.0582,-0.024,0
-0.0581,0.012,0.2
-0.058,0.032,0
-0.0579,-0.02,0
-0.0578,-0.032,0
-0.0577,-0.004,0
-0.0576,0.024,-0.2
-0.0575,-0.016,0
-0.0574,-0.016,0
-0.0573,-0.016,0
-0.0572,0.004,0
-0.0571,-0.024,0
-0.057,-0.052,0
-0.0569,-0.024,0
-0.0568,0.028,0
-0.0567,0,0
-0.0566,-0.012,0.2
-0.0565,-0.028,0
-0.0564,0.008,0.2
-0.0563,0.028,0
-0.0562,-0.024,0
-0.0561,0.004,0
-0.056,0.016,0
-0.0559,0.016,0
-0.0558,-0.008,-0.2
-0.0557,-0.008,0
-0.0556,-0.016,0
-0.0555,-0.004,0
-0.0554,0.008,0
-0.0553,-0.004,0
-0.0552,0,0
-0.0551,0,0
-0.055,-0.012,0
-0.0549,0.008,0
-0.0548,-0.02,0
-0.0547,-0.004,0
-0.0546,-0.008,0
-0.0545,0.02,0
-0.0544,-0.004,0
-0.0543,-0.004,0
-0.0542,0.008,0
-0.0541,-0.012,0
-0.054,-0.008,0
-0.0539,0.008,0
-0.0538,0.016,0
-0.0537,0,0
-0.0536,-0.004,0
-0.0535,0.024,0
-0.0534,-0.012,0.2
-0.0533,0.02,0
-0.0532,0.016,0
-0.0531,-0.008,0
-0.053,0.008,0
-0.0529,0,0
-0.0528,-0.008,0
-0.0527,0.016,0
-0.0526,-0.024,0
-0.0525,-0.008,0
-0.0524,-0.024,-0.2
-0.0523,0.012,0.2
-0.0522,0.016,0
-0.0521,0.012,0
-0.052,0.008,0
-0.0519,-0.024,0.2
-0.0518,0.008,0
-0.0517,-0.004,0
-0.0516,0.016,0
-0.0515,0,0
-0.0514,-0.008,0
-0.0513,0.02,0
-0.0512,0,0
-0.0511,-0.012,0
-0.051,-0.012,0.2
-0.0509,0.008,0
-0.0508,0.012,0
