Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.001004,2.439000,2.048000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001040,2.336000,2.092000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001076,2.224000,2.136000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001116,2.126000,2.185000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001152,2.038000,2.234000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001188,1.970000,2.287000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001224,1.926000,2.346000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001264,1.906000,2.405000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001300,1.911000,2.458000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001336,1.945000,2.512000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001372,1.994000,2.566000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001412,2.067000,2.620000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001448,2.165000,2.664000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001484,2.263000,2.713000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001520,2.380000,2.747000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001560,2.488000,2.781000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001596,2.595000,2.810000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001632,2.688000,2.835000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001668,2.766000,2.849000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001708,2.820000,2.864000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001744,2.854000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001780,2.864000,2.869000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001816,2.849000,2.854000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001856,2.805000,2.845000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001892,2.742000,2.820000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001928,2.654000,2.796000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.001964,2.556000,2.766000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002008,2.444000,2.717000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002044,2.322000,2.678000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002080,2.214000,2.634000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
0.002120,2.116000,2.586000,0.960000,0.965000,996.000000,1.005000,1540027776.000000
