Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.004640,2.546000,2.537000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004676,2.439000,2.434000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004712,2.326000,2.326000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004756,2.204000,2.209000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004792,2.107000,2.107000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.004832,2.014000,2.019000,0.970000,2.849000,1000.000000,2.937000,1536963456.000000
0.000036,1.979000,1.804000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000072,2.063000,1.970000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000108,2.151000,2.097000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000148,2.258000,2.209000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000184,2.366000,2.326000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000220,2.478000,2.434000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000256,2.576000,2.537000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000296,2.678000,2.625000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000332,2.752000,2.703000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000368,2.805000,2.766000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000404,2.835000,2.801000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000444,2.849000,2.810000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000480,2.825000,2.796000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000516,2.776000,2.752000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000552,2.708000,2.688000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000592,2.620000,2.610000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000628,2.522000,2.512000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000664,2.414000,2.410000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000700,2.307000,2.302000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000740,2.195000,2.195000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000776,2.102000,2.097000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000812,2.014000,2.014000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000848,1.945000,1.945000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000888,1.896000,1.896000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000924,1.882000,1.877000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000960,1.891000,1.877000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
0.000996,1.921000,1.906000,0.970000,2.849000,1000.000000,2.937000,1537034240.000000
